file	endpoint	host	port	resolved_ip	ping_ms	nmap_open_udp
al-tia-wg-003.conf	103.124.165.130:51820	103.124.165.130	51820	103.124.165.130	196	-
al-tia-wg-004.conf	103.124.165.191:51820	103.124.165.191	51820	103.124.165.191	104	-
ar-bue-wg-001.conf	149.22.83.2:51820	149.22.83.2	51820	149.22.83.2	379	-
ar-bue-wg-002.conf	149.22.83.31:51820	149.22.83.31	51820	149.22.83.31	395	-
at-vie-wg-001.conf	146.70.116.98:51820	146.70.116.98	51820	146.70.116.98	88.1	-
at-vie-wg-002.conf	146.70.116.130:51820	146.70.116.130	51820	146.70.116.130	87.5	-
at-vie-wg-003.conf	146.70.116.162:51820	146.70.116.162	51820	146.70.116.162	191	-
at-vie-wg-101.conf	185.24.11.130:51820	185.24.11.130	51820	185.24.11.130	88.1	-
at-vie-wg-102.conf	185.24.11.159:51820	185.24.11.159	51820	185.24.11.159	88.5	-
au-adl-wg-302.conf	103.214.20.130:51820	103.214.20.130	51820	103.214.20.130	396	-
au-bne-wg-301.conf	103.216.220.18:51820	103.216.220.18	51820	103.216.220.18	395	-
au-bne-wg-302.conf	103.216.220.34:51820	103.216.220.34	51820	103.216.220.34	395	-
au-mel-wg-302.conf	103.108.229.66:51820	103.108.229.66	51820	103.108.229.66	395	-
au-per-wg-301.conf	103.108.231.50:51820	103.108.231.50	51820	103.108.231.50	294	-
au-per-wg-302.conf	103.108.231.66:51820	103.108.231.66	51820	103.108.231.66	294	-
au-syd-wg-001.conf	146.70.200.2:51820	146.70.200.2	51820	146.70.200.2	394	-
au-syd-wg-002.conf	146.70.141.194:51820	146.70.141.194	51820	146.70.141.194	395	-
au-syd-wg-003.conf	146.70.200.194:51820	146.70.200.194	51820	146.70.200.194	396	-
au-syd-wg-101.conf	103.136.147.3:51820	103.136.147.3	51820	103.136.147.3	394	-
au-syd-wg-102.conf	103.136.147.65:51820	103.136.147.65	51820	103.136.147.65	396	-
au-syd-wg-103.conf	103.136.147.129:51820	103.136.147.129	51820	103.136.147.129	395	-
au-syd-wg-104.conf	103.136.147.197:51820	103.136.147.197	51820	103.136.147.197	397	-
au-syd-wg-301.conf	103.120.6.2:51820	103.120.6.2	51820	103.120.6.2	359	-
au-syd-wg-302.conf	103.120.6.127:51820	103.120.6.127	51820	103.120.6.127	431	-
au-syd-wg-303.conf	103.141.60.2:51820	103.141.60.2	51820	103.141.60.2	396	-
au-syd-wg-304.conf	103.141.60.127:51820	103.141.60.127	51820	103.141.60.127	395	-
be-bru-wg-101.conf	91.90.123.2:51820	91.90.123.2	51820	91.90.123.2	90.1	-
be-bru-wg-102.conf	194.110.115.34:51820	194.110.115.34	51820	194.110.115.34	88.2	-
be-bru-wg-103.conf	194.110.115.2:51820	194.110.115.2	51820	194.110.115.2	88.4	-
bg-sof-wg-001.conf	146.70.188.130:51820	146.70.188.130	51820	146.70.188.130	191	-
bg-sof-wg-002.conf	146.70.188.194:51820	146.70.188.194	51820	146.70.188.194	191	-
br-for-wg-001.conf	98.98.12.178:51820	98.98.12.178	51820	98.98.12.178	293	-
br-for-wg-002.conf	98.98.12.182:51820	98.98.12.182	51820	98.98.12.182	293	-
br-sao-wg-201.conf	169.150.198.66:51820	169.150.198.66	51820	169.150.198.66	293	-
br-sao-wg-202.conf	169.150.198.79:51820	169.150.198.79	51820	169.150.198.79	273	-
br-sao-wg-302.conf	103.139.178.63:51820	103.139.178.63	51820	103.139.178.63	313	-
br-sao-wg-303.conf	103.139.178.123:51820	103.139.178.123	51820	103.139.178.123	293	-
br-sao-wg-304.conf	103.139.178.183:51820	103.139.178.183	51820	103.139.178.183	292	-
ca-mtr-wg-001.conf	146.70.198.66:51820	146.70.198.66	51820	146.70.198.66	191	-
